L1DPref;L2DPref;Bench;ipc;SpeedUp;L1DAccuracyTime;L1DAccuracyLate;L1DMPKI;L2CMPKI;LLCMPKI;L1DCoverageTime;L1DCoverageLate
ip_stride;no;bc-0.trace.gz;0.1635;Nan;67.3;68.0;Nan;Nan;Nan;4.5;4.5
ip_stride;no;bc-12.trace.gz;0.1496;Nan;54.7;57.8;Nan;Nan;Nan;4.4;4.7
ip_stride;no;bc-3.trace.gz;0.1964;Nan;72.0;72.6;Nan;Nan;Nan;4.9;4.9
ip_stride;no;bc-5.trace.gz;0.3325;Nan;61.9;64.5;Nan;Nan;Nan;4.8;5.0
ip_stride;no;bfs-10.trace.gz;0.3165;Nan;86.4;87.6;Nan;Nan;Nan;41.0;41.6
ip_stride;no;bfs-14.trace.gz;0.3503;Nan;86.3;88.0;Nan;Nan;Nan;45.7;46.6
ip_stride;no;bfs-3.trace.gz;0.3657;Nan;83.7;86.2;Nan;Nan;Nan;32.4;33.3
ip_stride;no;bfs-8.trace.gz;0.332;Nan;84.6;86.4;Nan;Nan;Nan;39.2;40.0
ip_stride;no;cc-13.trace.gz;0.2392;Nan;80.7;81.5;Nan;Nan;Nan;6.5;6.5
ip_stride;no;cc-14.trace.gz;0.2712;Nan;78.6;79.2;Nan;Nan;Nan;6.5;6.5
ip_stride;no;cc-5.trace.gz;0.3111;Nan;80.7;81.6;Nan;Nan;Nan;6.4;6.5
ip_stride;no;cc-6.trace.gz;0.214;Nan;81.5;82.1;Nan;Nan;Nan;6.5;6.6
ip_stride;no;pr-10.trace.gz;0.0666;Nan;71.5;73.9;Nan;Nan;Nan;7.3;7.6
ip_stride;no;pr-14.trace.gz;0.07;Nan;71.2;73.8;Nan;Nan;Nan;7.3;7.6
ip_stride;no;pr-3.trace.gz;0.0661;Nan;71.0;73.6;Nan;Nan;Nan;7.4;7.7
ip_stride;no;pr-5.trace.gz;0.0687;Nan;71.1;73.7;Nan;Nan;Nan;7.4;7.7
ip_stride;no;sssp-10.trace.gz;0.424;Nan;74.9;76.7;Nan;Nan;Nan;10.5;10.8
ip_stride;no;sssp-14.trace.gz;0.4219;Nan;73.9;75.6;Nan;Nan;Nan;10.5;10.8
ip_stride;no;sssp-3.trace.gz;0.4219;Nan;75.2;76.7;Nan;Nan;Nan;10.5;10.7
ip_stride;no;sssp-5.trace.gz;0.4246;Nan;74.1;75.9;Nan;Nan;Nan;10.6;10.9
ipcp_isca2020;no;bc-0.trace.gz;0.159;Nan;5.8;6.6;Nan;Nan;Nan;5.5;6.3
ipcp_isca2020;no;bc-12.trace.gz;0.1449;Nan;6.0;7.5;Nan;Nan;Nan;5.7;7.2
ipcp_isca2020;no;bc-3.trace.gz;0.1899;Nan;6.0;6.6;Nan;Nan;Nan;5.7;6.3
ipcp_isca2020;no;bc-5.trace.gz;0.3045;Nan;6.0;7.5;Nan;Nan;Nan;5.7;7.1
ipcp_isca2020;no;bfs-10.trace.gz;0.3451;Nan;53.5;55.1;Nan;Nan;Nan;49.6;51.1
ipcp_isca2020;no;bfs-14.trace.gz;0.3758;Nan;57.1;59.7;Nan;Nan;Nan;53.2;55.5
ipcp_isca2020;no;bfs-3.trace.gz;0.3838;Nan;40.5;44.1;Nan;Nan;Nan;36.7;40.0
